year,state_fips,state_abbr,state_name,region,division,total_jail_pop,male_jail_pop,female_jail_pop,black_jail_pop,black_male_jail_pop,black_female_jail_pop,latinx_jail_pop,latinx_male_jail_pop,latinx_female_jail_pop,white_jail_pop,white_male_jail_pop,white_female_jail_pop,native_jail_pop,aapi_jail_pop,other_race_jail_pop,total_pretrial_custody,total_pretrial_juris,total_jail_from_fed,total_jail_from_prison,total_jail_from_other_jail,total_jail_from_bia,total_jail_from_bop,total_jail_from_ice,total_jail_from_marshals,total_jail_from_other_fed,total_contracted_out,total_contracted_in,total_jail_admits,male_jail_admits,female_jail_admits,total_jail_discharges,male_jail_discharges,female_jail_discharges,jail_rated_capacity,total_sentenced_custody,is_unified_state,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,black_male_prison_pop,black_female_prison_pop,latinx_prison_pop,latinx_male_prison_pop,latinx_female_prison_pop,white_prison_pop,white_male_prison_pop,white_female_prison_pop,native_prison_pop,native_male_prison_pop,native_female_prison_pop,aapi_prison_pop,aapi_male_prison_pop,aapi_female_prison_pop,other_race_prison_pop,other_race_male_prison_pop,other_race_female_prison_pop,total_prison_admits,male_prison_admits,female_prison_admits,black_prison_admits,black_male_prison_admits,black_female_prison_admits,latinx_prison_admits,latinx_male_prison_admits,latinx_female_prison_admits,white_prison_admits,white_male_prison_admits,white_female_prison_admits,native_prison_admits,native_male_prison_admits,native_female_prison_admits,aapi_prison_admits,aapi_male_prison_admits,aapi_female_prison_admits,other_race_prison_admits,other_race_male_prison_admits,other_race_female_prison_admits,total_pop_15to64,male_pop_15to64,female_pop_15to64,black_pop_15to64,black_male_pop_15to64,black_female_pop_15to64,latinx_pop_15to64,latinx_male_pop_15to64,latinx_female_pop_15to64,white_pop_15to64,white_male_pop_15to64,white_female_pop_15to64,native_pop_15to64,native_male_pop_15to64,native_female_pop_15to64,aapi_pop_15to64,aapi_male_pop_15to64,aapi_female_pop_15to64,total_incarceration,total_incarceration_rate,total_jail_pop_rate,male_jail_pop_rate,female_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,white_jail_pop_rate,native_jail_pop_rate,aapi_jail_pop_rate,total_pretrial_custody_rate,total_sentenced_custody_rate,total_jail_admits_rate,male_jail_admits_rate,female_jail_admits_rate,total_jail_discharges_rate,male_jail_discharges_rate,female_jail_discharges_rate,total_prison_pop_rate,male_prison_pop_rate,female_prison_pop_rate,black_prison_pop_rate,black_male_prison_pop_rate,black_female_prison_pop_rate,latinx_prison_pop_rate,latinx_male_prison_pop_rate,latinx_female_prison_pop_rate,white_prison_pop_rate,white_male_prison_pop_rate,white_female_prison_pop_rate,native_prison_pop_rate,native_male_prison_pop_rate,native_female_prison_pop_rate,aapi_prison_pop_rate,aapi_male_prison_pop_rate,aapi_female_prison_pop_rate,total_prison_admits_rate,male_prison_admits_rate,female_prison_admits_rate,black_prison_admits_rate,black_male_prison_admits_rate,black_female_prison_admits_rate,latinx_prison_admits_rate,latinx_male_prison_admits_rate,latinx_female_prison_admits_rate,white_prison_admits_rate,white_male_prison_admits_rate,white_female_prison_admits_rate,native_prison_admits_rate,native_male_prison_admits_rate,native_female_prison_admits_rate,aapi_prison_admits_rate,aapi_male_prison_admits_rate,aapi_female_prison_admits_rate
2023,33,NH,New Hampshire,Northeast,New England,1046.5,674,82,103,,,140,,,498,,,0,7,8,468,,220,9,5,0,8,69,143,0,,,1897.75,,,1844,,,1339,288,false,2104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906954,459283,447671,19609,11155,8454,46997,24811,22186,803877,405492,398385,2674,1403,1271,33797,16422,17375,3142,346.43,115.39,146.75,18.32,525.27,297.89,61.95,0,20.71,1384.74,852.15,209.24,,,203.32,,,232.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,33,NH,New Hampshire,Northeast,New England,901,565.54,75.79,82.64,,,98.59,,,429.41,,,8,7,15.69,552.16,,158,6,12.67,0,4,26,128,0,,,2301.81,,,2269.5,,,1439,92.84,false,2086,154,1932,154,149,5,134,133,1,1714,1572,142,8,7,1,4,4,0,,,,879,774,,,,,,,,,,,,,,,,,,,,911982,461783,450199,19206,10813,8393,45475,24086,21389,810894,409060,401834,2689,1407,1282,33718,16417,17301,2981,326.87,98.8,122.47,16.83,430.28,216.8,52.96,297.51,20.76,1637.58,275.34,252.4,,,248.85,,,228.73,418.38,34.21,801.83,1377.97,59.57,294.67,552.19,4.68,211.37,384.3,35.34,297.51,497.51,78,11.86,24.36,0,96.38,167.61,,,,,,,,,,,,,,,,
2021,33,NH,New Hampshire,Northeast,New England,713.5,588.89,72.61,85.44,,,107,,,432.26,,,2,7,27.8,569.3,,223,15,6.5,0,7,36,180,0,,,1934.12,1312.75,354.75,1819.87,1219.75,343.5,1391,92.2,false,2127,148,1979,152,146,6,125,124,1,1752,1619,133,11,10,1,7,6,1,,,,866,781,,,,,,,,,,,,,,,,,,,,909764,460359,449405,18271,10291,7980,43116,22860,20256,813021,409858,403163,2681,1383,1298,32675,15967,16708,2825.5,310.58,78.43,127.92,16.16,467.63,248.17,53.17,74.6,21.42,1742.31,282.17,212.6,285.16,78.94,200.04,264.96,76.43,233.8,429.88,32.93,831.92,1418.72,75.19,289.92,542.43,4.94,215.49,395.01,32.99,410.29,723.07,77.04,21.42,37.58,5.99,95.19,169.65,,,,,,,,,,,,,,,,
2020,33,NH,New Hampshire,Northeast,New England,679,562.89,60.11,91.19,,,121.62,,,370.54,,,1.02,16.46,22.2,532.82,,226.06,29.25,6.13,0,6.13,58.06,161.88,0,,,8983.33,7182.08,1801.25,9041.96,7178.12,1863.84,1354.13,90.18,false,2352,184,2168,159,153,6,128,125,3,1978,1809,169,8,7,1,5,5,0,,,,923,813,,,,,,,,,,,,,,,,,,,,909918,459653,450265,17769,9990,7779,41023,21620,19403,816417,411107,405310,2710,1390,1320,31999,15546,16453,3001.75,329.89,74.62,122.46,13.35,513.2,296.47,45.39,37.64,51.44,1665.11,281.82,987.27,1562.5,400.04,993.71,1561.64,413.94,258.48,471.66,40.86,894.82,1531.53,77.13,312.02,578.17,15.46,242.28,440.03,41.7,295.2,503.6,75.76,15.63,32.16,0,101.44,176.87,,,,,,,,,,,,,,,,
2019,33,NH,New Hampshire,Northeast,New England,1502,1191,204,182,,,165,,,982,,,7,18,41,860,,349,15,24,0,5,67,277,0,,,5901.5,4468.25,1433.25,5604.25,4248.25,1356,2744,642,false,2691,228,2463,140,116,24,120,105,15,3268,2344,924,13,8,5,20,14,6,47,42,5,1309,1133,,,,,,,,,,,,,,,,,,,,910749,459397,451352,17290,9693,7597,39156,20582,18574,819922,412317,407605,2677,1375,1302,31704,15430,16274,4178,458.74,164.92,259.25,45.2,1052.63,421.39,119.77,261.49,56.78,2712.59,2024.98,647.98,972.63,317.55,615.35,924.74,300.43,295.47,536.14,50.51,809.72,1196.74,315.91,306.47,510.15,80.76,398.57,568.49,226.69,485.62,581.82,384.02,63.08,90.73,36.87,143.73,246.63,,,,,,,,,,,,,,,,
2018,33,NH,New Hampshire,Northeast,New England,1630,1279,251,175.06,,,186.67,,,1121.73,,,6.14,15.23,7.17,1015.45,,314.73,11.77,26.94,0,6,91,217.73,0,,,5526.25,4116,1416.25,6062.32,4549.97,1512.35,2705.87,614.55,false,2722,231,2491,147,123,24,120,100,20,3510,2481,1029,8,6,2,18,13,5,47,42,5,1327,1144,,,,,,,,,,,,,,,,,,,,910883,459454,451429,16411,9255,7156,37175,19539,17636,823547,414177,409370,2709,1396,1313,31041,15087,15954,4340.23,476.49,178.95,278.37,55.6,1066.72,502.14,136.21,226.65,49.06,3271.32,1979.8,606.69,895.85,313.73,665.54,990.3,335.01,298.83,542.17,51.17,895.74,1329.01,335.38,322.8,511.8,113.4,426.21,599.02,251.36,295.31,429.8,152.32,57.99,86.17,31.34,145.68,248.99,,,,,,,,,,,,,,,,
2017,33,NH,New Hampshire,Northeast,New England,1817,1467,304,200.02,,,217.44,,,1354.31,,,7.42,21.02,9.04,1155.63,,276.47,33.53,33.86,0,3,80,193.47,0,,,5815.5,4545,1449.75,5879.87,4383.34,1496.53,2674.73,661.37,false,2750,226,2524,130,108,22,92,75,17,2408,2243,165,3,3,0,19,16,3,47,42,5,1361,1155,,,,,,,,,,,,,,,,,,,,911558,459023,452535,15618,8838,6780,35208,18308,16900,827410,415671,411739,2729,1402,1327,30593,14804,15789,4533.47,497.33,199.33,319.59,67.18,1280.7,617.59,163.68,271.89,68.71,3777.43,2161.83,637.97,990.15,320.36,645.04,954.93,330.7,301.68,549.86,49.94,832.37,1222,324.48,261.3,409.66,100.59,291.03,539.61,40.07,109.93,213.98,0,62.11,108.08,19,149.3,251.62,,,,,,,,,,,,,,,,
2016,33,NH,New Hampshire,Northeast,New England,1868,1452,305,190.73,,,219.23,,,1363.68,,,8.68,21.74,8.76,1209.23,,300.2,33.3,23.8,0,2,84,214.2,0,,,5870.5,4406.5,1464,5897.44,4384.43,1513.01,2667.6,658.77,false,2818,227,2591,123,104,19,81,67,14,2570,2384,186,3,2,1,18,16,2,47,42,5,1557,1321,194,103,97,6,86,83,3,1206,1026,180,3,2,1,4,4,,35,31,4,910433,458051,452382,14851,8433,6418,33104,17113,15991,829677,416546,413131,2748,1402,1346,30053,14557,15496,4652.7,511.04,205.18,317,67.42,1284.29,662.25,164.36,315.87,72.34,4023.66,2192.03,644.8,962.01,323.62,647.76,957.19,334.45,309.52,565.66,50.18,828.23,1233.25,296.04,244.68,391.52,87.55,309.76,572.33,45.02,109.17,142.65,74.29,59.89,109.91,12.91,171.02,288.4,42.88,693.56,1150.24,93.49,259.79,485.01,18.76,145.36,246.31,43.57,109.17,142.65,74.29,13.31,27.48,
2015,33,NH,New Hampshire,Northeast,New England,1830,1440,323,173.2,,,211.89,,,1342.99,,,6.99,24.66,8.43,1186.86,,225.93,34.07,34.74,0,3,65,157.93,0,,,5666.25,4297.5,1368.75,5805.01,4316.14,1488.87,2607.47,643.14,false,2897,236,2661,123,106,17,91,77,14,2582,2399,183,5,4,1,19,18,1,58,48,6,1604,1365,190,91,85,6,98,94,4,1219,1045,174,5,3,2,4,3,1,33,30,3,909269,457141,452128,13973,7985,5988,31296,16145,15151,832317,417660,414657,2754,1398,1356,28929,13953,14976,4692.93,516.12,201.26,315,71.44,1239.53,677.05,161.36,253.81,85.24,4102.67,2223.17,623.17,940.08,302.74,638.43,944.16,329.3,318.61,582.1,52.2,880.27,1327.49,283.9,290.77,476.93,92.4,310.22,574.39,44.13,181.55,286.12,73.75,65.68,129,6.68,176.41,298.59,42.02,651.26,1064.5,100.2,313.14,582.22,26.4,146.46,250.2,41.96,181.55,214.59,147.49,13.83,21.5,6.68
2014,33,NH,New Hampshire,Northeast,New England,2002,1628,321,188.16,,,222.89,,,1515.63,,,8.46,17.79,4.71,1258.45,,187.67,27.83,33.16,0,3,45,139.67,0,,,5765,4409,1363.75,5799.2,4294.32,1504.88,2619.83,743.55,false,2963,248,2715,171,166,5,167,158,9,2446,2227,219,9,8,1,11,11,0,63,51,8,1776,1509,205,106,100,6,102,95,7,1331,1145,186,5,4,1,4,4,0,31,26,5,909659,456532,453127,13439,7674,5765,29583,15247,14336,836287,418903,417384,2734,1409,1325,27616,13299,14317,4937.17,542.75,220.08,356.6,70.84,1400.1,753.44,181.23,309.44,64.42,4556.96,2692.46,633.75,965.76,300.96,637.51,940.64,332.11,325.73,594.7,54.73,1272.42,2163.15,86.73,564.51,1036.27,62.78,292.48,531.63,52.47,329.19,567.78,75.47,39.83,82.71,0,195.24,330.54,45.24,788.75,1303.1,104.08,344.79,623.07,48.83,159.16,273.33,44.56,182.88,283.89,75.47,14.48,30.08,0
2013,33,NH,New Hampshire,Northeast,New England,2012,1734.53,277.47,124,,,137.08,,,1544,,,9.69,20.33,2.33,1119,,151,31,57,0,3,25,123,0,,,4565,3451.75,1113.25,5639.45,4171.53,1467.92,2692,893,false,3018,237,2781,118,113,5,160,152,8,2350,2164,186,7,6,1,12,12,0,63,51,8,1674,1475,183,105,99,6,83,78,5,1337,1172,165,6,5,1,4,4,0,36,29,6,907345,454337,453008,13001,7405,5596,28178,14502,13676,837122,418418,418704,2735,1398,1337,26309,12614,13695,4999,550.95,221.75,381.77,61.25,953.77,486.48,184.44,354.3,77.27,4253.3,3394.28,503.12,759.73,245.75,621.53,918.16,324.04,332.62,612.1,52.32,907.62,1526,89.35,567.82,1048.13,58.5,280.72,517.19,44.42,255.94,429.18,74.79,45.61,95.13,0,184.49,324.65,40.4,807.63,1336.93,107.22,294.56,537.86,36.56,159.71,280.1,39.41,219.38,357.65,74.79,15.2,31.71,0
2012,33,NH,New Hampshire,Northeast,New England,2137,1783,328,138.7,,,158.29,,,1773.84,,,9.4,20.23,2.58,1245.72,,151.37,30.87,43.88,0,3,23.24,125.12,0,,,5835.75,4638.5,1199.75,5479.7,4048.72,1430.98,2618.01,891.28,false,2790,207,2583,161,156,5,148,142,6,2291,2104,187,5,4,1,7,7,0,69,60,5,1838,1585,184,91,87,4,96,93,3,1321,1150,171,1,0,1,2,2,0,47,42,5,909281,454553,454728,12668,7208,5460,26893,13775,13118,842012,420266,421746,2711,1368,1343,24997,11936,13061,4896.13,538.46,235.02,392.25,72.13,1094.88,588.59,210.67,346.74,80.93,4983.48,3565.55,641.8,1020.45,263.84,602.64,890.7,314.69,306.84,568.25,45.52,1270.92,2164.26,91.58,550.33,1030.85,45.74,272.09,500.64,44.34,184.43,292.4,74.46,28,58.65,0,202.14,348.69,40.46,718.35,1206.99,73.26,356.97,675.14,22.87,156.89,273.64,40.55,36.89,0,74.46,8,16.76,0
2011,33,NH,New Hampshire,Northeast,New England,2118,1692,341,146.92,,,170.47,,,1667.71,,,9.5,17.97,2.57,1262.67,,154.75,28.75,26.75,0,3,23.5,128.25,0,,,5163.25,4445.5,1147.75,5430.47,4023.07,1407.4,2471,855.33,false,2614,170,2444,145,139,6,133,128,5,2262,2107,155,8,8,0,7,6,1,39,32,3,1746,1551,150,82,75,7,89,85,4,1257,1124,133,0,,,0,,,23,19,3,910156,454379,455777,11895,6768,5127,25390,12889,12501,846627,422168,424459,2682,1343,1339,23562,11211,12351,4703.25,516.75,232.71,372.38,74.82,1235.14,671.41,196.98,354.21,76.27,5358.93,3630.12,567.29,978.37,251.82,596.65,885.4,308.79,287.2,537.88,37.3,1219,2053.78,117.03,523.83,993.09,40,267.18,499.09,36.52,298.28,595.68,0,29.71,53.52,8.1,191.84,341.35,32.91,689.37,1108.16,136.53,350.53,659.48,32,148.47,266.24,31.33,0,,,0,,
2010,33,NH,New Hampshire,Northeast,New England,2123,1701,323,153.67,,,169.8,,,1685.76,,,7.91,17.21,2.32,1231.06,,139.13,26.63,29.12,0,3,16.76,119.38,0,,,6587.75,4524.75,1110.25,6100.56,4500.95,1599.61,2424.49,891.94,false,2761,201,2560,171,162,9,149,145,4,2330,2149,181,8,8,0,12,10,2,,,,1515,1313,,,,,,,,,,,,,,,,,,,,906595,452026,454569,11206,6405,4801,23952,12076,11876,846756,421768,424988,2650,1340,1310,22031,10437,11594,4857.37,535.78,234.17,376.31,71.06,1371.32,708.92,199.08,298.49,78.12,5587.85,4048.57,726.65,1000.99,244.24,672.91,995.73,351.9,304.55,566.34,44.22,1525.97,2529.27,187.46,622.08,1200.73,33.68,275.17,509.52,42.59,301.89,597.01,0,54.47,95.81,17.25,167.11,290.47,,,,,,,,,,,,,,,,
2009,33,NH,New Hampshire,Northeast,New England,2086,1667,315,163.47,,,203.82,,,1592.96,,,6.12,15.58,2.44,1232.77,,149.5,24.5,43.5,0,3,15,131.5,0,,,5693.25,4581.75,1121.5,4755.64,3500.79,1254.85,2358,853.23,false,2731,167,2564,170,159,11,151,149,2,2277,2130,147,,,,,,,,,,1545,1323,,,,,,,,,,,,,,,,,,,,905872,451570,454302,10736,6131,4605,23419,11806,11613,847385,422020,425365,2724,1345,1379,21608,10268,11340,4792.5,529.05,230.28,369.16,69.34,1522.63,870.32,187.99,224.67,72.1,5705.16,3948.68,628.48,1014.63,246.86,524.98,775.25,276.21,301.48,567.8,36.76,1583.46,2593.38,238.87,644.78,1262.07,17.22,268.71,504.72,34.56,,,,,,,170.55,292.98,,,,,,,,,,,,,,,,
2008,33,NH,New Hampshire,Northeast,New England,1968,1691,301,190.87,,,217.59,,,1561.29,,,6.48,16.92,2.84,1242.02,,140.87,20.37,42.88,1,3,14.24,121.62,1,,,6009.25,4949.5,1148.5,5620.73,4101.88,1518.85,2289.51,725.98,false,2702,181,2521,170,162,8,,,,2481,2263,218,12,11,1,,,,,,,1464,1256,,,,,,,,,,,,,,,,,,,,905971,452066,453905,10302,5876,4426,22731,11575,11156,849168,423199,425969,2750,1387,1363,21020,10029,10991,4649.63,513.22,217.23,374.06,66.31,1852.75,957.24,183.86,235.64,80.49,5908.75,3453.76,663.29,1094.86,253.03,620.41,907.36,334.62,298.24,557.66,39.88,1650.17,2756.98,180.75,,,,292.17,534.74,51.18,436.36,793.08,73.37,,,,161.59,277.84,,,,,,,,,,,,,,,,
2007,33,NH,New Hampshire,Northeast,New England,1963,1652,269,149.47,,,189,,,1552.81,,,5.83,22.17,3.52,1189.82,,121.25,12.25,44.25,0,4,8.5,108.75,0,,,5795.25,4904,962.75,5003.83,3639.53,1364.3,2271,773.18,false,2943,202,2741,177,166,11,,,,2500,2323,177,12,11,1,,,,,,,1509,1388,,,,,,,,,,,,,,,,,,,,904378,451319,453059,9831,5622,4209,21788,11066,10722,849780,423522,426258,2716,1395,1321,20263,9714,10549,4893.75,541.12,217.06,366.04,59.37,1520.39,867.45,182.73,214.65,109.41,5871.88,3815.72,640.8,1086.59,212.5,553.29,806.42,301.13,325.42,607.33,44.59,1800.43,2952.69,261.34,,,,294.19,548.5,41.52,441.83,788.53,75.7,,,,166.86,307.54,,,,,,,,,,,,,,,,
2006,33,NH,New Hampshire,Northeast,New England,1955,1741,302,181.72,,,215.36,,,1544.56,,,13.4,17.81,1.92,1173.41,,120.63,8.13,36.62,0,3,9.76,107.88,0,,,5855.25,4534.69,1017.56,4997.91,3640.74,1357.17,2210.49,781.59,false,2805,172,2633,165,155,10,,,,2407,2259,148,16,15,1,0,0,0,,,,2676,2512,,,,,,,,,,,,,,,,,,,,900526,449582,450944,9537,5471,4066,20898,10651,10247,847819,422626,425193,2687,1383,1304,19585,9451,10134,4751.87,527.68,217.1,387.25,66.97,1905.42,1030.53,182.18,498.7,90.94,5991.37,3990.76,650.2,1008.65,225.65,555,809.81,300.96,311.48,585.66,38.14,1730.1,2833.12,245.94,,,,283.9,534.52,34.81,595.46,1084.6,76.69,0,0,0,297.16,558.74,,,,,,,,,,,,,,,,
2005,33,NH,New Hampshire,Northeast,New England,1757,1506,222,165.21,,,177,,,1364,,,5.23,18.3,5,1027,,102,11,46,0,3,3,96,0,,,4706,4310.11,812.14,4888,3539.66,1348.34,2029,730,false,2530,133,2397,138,132,6,0,0,0,2122,2000,122,12,12,0,16,16,0,,,,1464,1318,,,,,,,,,,,,,,,,,,,,891859,445097,446762,8946,5129,3817,19635,10032,9603,841758,419439,422319,2691,1375,1316,18829,9122,9707,4276,479.45,197,338.35,49.69,1846.75,901.45,162.04,194.35,97.19,5454.35,3877,527.66,968.35,181.78,548.07,795.26,301.8,283.68,538.53,29.77,1542.59,2573.6,157.19,0,0,0,252.09,476.83,28.89,445.93,872.73,0,84.98,175.4,0,164.15,296.12,,,,,,,,,,,,,,,,
2004,33,NH,New Hampshire,Northeast,New England,1660,1501,190,162.61,,,183.25,,,1336.31,,,8.11,17.9,3.83,939.18,,111.84,17.16,60.66,0,3.83,5.84,102.17,0,,,6271.5,4359.09,874.16,6480.5,4668.68,1811.82,1994,720.82,false,2448,119,2329,132,123,9,0,0,0,2189,2084,105,3,3,0,13,13,0,,,,1100,1009,,,,,,,,,,,,,,,,,,,,882182,440022,442160,8507,4857,3650,18531,9507,9024,834860,415757,419103,2641,1356,1285,17643,8545,9098,4090.84,463.72,188.17,341.12,42.97,1911.48,988.88,160.06,307.08,101.46,5323.24,4085.59,710.91,990.65,197.7,734.6,1061.01,409.77,277.49,529.29,26.91,1551.66,2532.43,246.58,0,0,0,262.2,501.25,25.05,113.59,221.24,0,73.68,152.14,0,124.69,229.31,,,,,,,,,,,,,,,,
2003,33,NH,New Hampshire,Northeast,New England,1593,1354.32,123.68,134.18,,,149.07,,,1177.8,,,5.26,17.82,4.04,878.76,,110.66,19.34,46.34,0,4.67,12.66,93.33,0,,,4989.75,4039.75,747.25,5226,3796,1430,1925,714.24,false,2434,117,2317,126,120,6,0,0,0,2214,2107,107,5,4,1,,,,,,,1147,1053,,,,,,,,,,,,,,,,,,,,872423,435447,436976,8183,4736,3447,17364,8976,8388,827589,412279,415310,2571,1338,1233,16716,8118,8598,4007.66,459.37,182.59,311.02,28.3,1639.74,858.5,142.32,204.59,106.6,5257,4272.79,571.94,927.72,171,599.02,871.75,327.25,278.99,532.1,26.77,1539.78,2533.78,174.06,0,0,0,267.52,511.06,25.76,194.48,298.95,81.1,,,,131.47,241.82,,,,,,,,,,,,,,,,
2002,33,NH,New Hampshire,Northeast,New England,1523,1444,115,124.87,,,153.99,,,1253.9,,,5.15,20.08,5.81,946.04,,114.5,19.5,31,0,5.5,15.5,93.5,0,,,5397.25,4301.75,751,4751.5,3416.61,1334.89,1886,576.96,false,2451,144,2307,135,130,5,0,0,0,2254,2121,133,9,7,2,14,13,1,28,,,1125,1018,97,45,,,51,,,978,,,0,,,0,,,23,,,861109,429511,431598,7689,4447,3242,16248,8413,7835,818881,407709,411172,2562,1324,1238,15729,7618,8111,3954.5,459.23,176.86,336.2,26.65,1624.01,947.75,153.12,201.01,127.66,6014.62,3668.13,626.78,1001.55,174,551.79,795.47,309.29,284.63,537.12,33.36,1755.75,2923.32,154.23,0,0,0,275.25,520.22,32.35,351.29,528.7,161.55,89.01,170.65,12.33,130.65,237.01,22.47,585.25,,,313.88,,,119.43,,,0,,,0,,
2001,33,NH,New Hampshire,Northeast,New England,1382,1331,121,110.72,,,133.85,,,1185.47,,,4.24,19.87,0.62,862.3,,104.34,32.66,21.66,0,6.33,92.67,85.34,0,,,4645.25,4314.75,665.25,4056,2918.56,1137.44,1900,519.7,false,2392,129,2263,123,118,5,0,0,0,2214,2093,121,7,7,0,12,12,0,22,,,1181,1069,97,34,,,52,,,976,,,0,,,0,,,19,,,848189,422936,425253,7268,4180,3088,14868,7699,7169,809093,402677,406416,2513,1328,1185,14447,7052,7395,3741.34,441.1,162.94,314.7,28.45,1523.39,900.26,146.52,168.72,137.54,5968.71,3597.29,547.67,1020.19,156.44,478.2,690.07,267.47,282.01,535.07,30.33,1692.35,2822.97,161.92,0,0,0,273.64,519.77,29.77,278.55,527.11,0,83.06,170.16,0,139.24,252.76,22.81,467.8,,,349.74,,,120.63,,,0,,,0,,
2000,33,NH,New Hampshire,Northeast,New England,1443,1274.46,114.54,132.21,,,175.54,,,1052.03,,,7.66,24.68,0.68,800.97,,100.16,39.84,10.34,0,7.17,169.83,77.16,0,,,4496.63,3947.21,567.17,4153.5,3001.2,1152.3,1846,642.03,false,2257,120,2137,102,98,4,101,99,2,2023,1911,112,5,5,0,14,14,0,27,,,1066,977,85,45,,,33,,,897,,,0,,,5,,,17,,,833596,415314,418282,6705,3864,2841,13361,6911,6450,798114,396940,401174,2455,1310,1145,12961,6289,6672,3660.16,439.08,173.11,306.87,27.38,1971.81,1313.82,131.81,312.02,190.42,6179.85,4953.55,539.43,950.42,135.6,498.26,722.63,275.48,270.75,514.55,28.69,1521.25,2536.23,140.8,755.93,1432.5,31.01,253.47,481.43,27.92,203.67,381.68,0,108.02,222.61,0,127.88,235.24,20.32,671.14,,,246.99,,,112.39,,,0,,,38.58,,
1999,33,NH,New Hampshire,Northeast,New England,1513,1488,104,129.34,,,143.07,,,1299.88,,,6,6,0,958,,324,102,45,0,8,247,69,0,,,4329,,,3887,,,1812,555,false,2257,117,2140,123,115,8,104,101,3,2090,1987,103,7,5,2,0,,,19,,,1083,1001,70,50,,,58,,,935,,,0,,,0,,,9,,,818369,407821,410548,6192,3558,2634,12606,6504,6102,785540,390839,394701,2311,1241,1070,11720,5679,6041,3668,448.21,184.88,364.87,25.33,2088.82,1134.94,165.48,259.63,51.19,8174.06,4735.49,528.98,,,474.97,,,275.79,524.74,28.5,1986.43,3232.15,303.72,825,1552.89,49.16,266.06,508.39,26.1,302.9,402.9,186.92,0,,,132.34,245.45,17.05,807.49,,,460.1,,,119.03,,,0,,,0,,
1998,33,NH,New Hampshire,Northeast,New England,729,739,37,82,,,169,,,480,,,6,39,,509,,254,415,3,0,11.17,181,39.83,0,,,1547,,,1508,,,865,220,false,2169,116,2053,115,108,7,95,91,4,2031,1925,106,2,0,2,,,,15,,,1000,930,55,43,,,61,,,852,,,0,,,,,,9,,,804007,400615,403392,5734,3287,2447,11557,5901,5656,773795,385136,388659,2107,1122,985,10814,5169,5645,2483,308.83,90.67,184.47,9.17,1430.07,1462.32,62.03,284.77,360.64,4706.86,2034.4,192.41,,,187.56,,,269.77,512.46,28.76,2005.58,3285.67,286.06,822.01,1542.11,70.72,262.47,499.82,27.27,94.92,0,203.05,,,,124.38,232.14,13.63,749.91,,,527.82,,,110.11,,,0,,,,,
1997,33,NH,New Hampshire,Northeast,New England,667,626,44,78,,,132,,,444,,,1,15,,412,,210.6,343.4,4.2,0,14.33,146,32.67,0,,,1505.95,,,1468.74,,,796,255,false,2168,109,2059,120,117,3,98,92,6,2019,1916,103,1,0,1,21,21,0,25,,,1039,965,64,21,,,54,,,902,,,0,,,,,,15,,,792300,394892,397408,5639,3158,2481,10903,5606,5297,763749,380355,383394,1894,1013,881,10115,4760,5355,2491.6,314.48,84.19,158.52,11.07,1383.22,1210.68,58.13,52.8,148.29,4073.16,2521.01,190.07,,,185.38,,,273.63,521.41,27.43,2128.04,3704.88,120.92,898.84,1641.1,113.27,264.35,503.74,26.87,52.8,0,113.51,207.61,441.18,0,131.14,244.37,16.1,372.41,,,495.28,,,118.1,,,0,,,,,
1996,33,NH,New Hampshire,Northeast,New England,541,618,51,67.47,,,103.3,,,442.53,,,1.21,9.22,0,333.95,,167.2,271.8,5.4,0,17.5,111,25.5,0,,,1464.9,,,1429.47,,,737,207.05,false,2062,105,1957,115,110,5,108,103,5,1931,1831,100,1,1,0,14,14,0,13,,,996,923,49,28,,,51,,,783,,,0,,,,,,0,,,779811,388674,391137,5424,3087,2337,10190,5256,4934,752745,374787,377958,1811,942,869,9641,4602,5039,2331.2,298.94,69.38,159,13.04,1243.92,1013.74,58.79,66.81,95.63,3463.85,2147.6,187.85,,,183.31,,,264.42,503.51,26.84,2120.21,3563.33,213.95,1059.86,1959.67,101.34,256.53,488.54,26.46,55.22,106.16,0,145.21,304.22,0,127.72,237.47,12.53,516.22,,,500.49,,,104.02,,,0,,,,,
1995,33,NH,New Hampshire,Northeast,New England,526,466,34,47.92,,,60.82,,,396.26,,,1.11,3,0,299,,123.8,200.2,6.6,0,20.67,76,18.33,0,,,1423.85,,,1390.21,,,725,227,false,2015,109,1906,129,121,8,116,111,5,1872,1773,99,1,1,0,11,11,0,15,,,968,892,61,31,,,67,,,854,,,0,,,,,,5,,,765324,381432,383892,5040,2858,2182,9549,4957,4592,740314,368563,371751,1662,863,799,8759,4191,4568,2340.8,305.86,68.73,122.17,8.86,950.79,636.93,53.53,66.79,34.25,3413.63,2591.62,186.05,,,181.65,,,263.29,499.7,28.39,2559.52,4233.73,366.64,1214.79,2239.26,108.89,252.87,481.06,26.63,60.17,115.87,0,125.59,262.47,0,126.48,233.86,15.89,615.08,,,701.64,,,115.36,,,0,,,,,
