jid,fips,county_name,state_abbr,project_year,project_type,project_status,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,project_amount,jail_capacity_before,jail_capacity_after
19137001,19137,Montgomery,IA,2010,New Jail,Passed,https://perma.cc/N4JY-H7MN,https://perma.cc/9AXP-MBUF,0,0,0,0,0,0,5600000,0,24
19139001,19139,Muscatine,IA,2009,Jail Expansion,Passed,https://perma.cc/Q8UP-VJWL,https://perma.cc/742R-J28Y,0,0,0,0,0,0,9200000,155,255
19145001,19145,Page,IA,2021,New Jail,Pending,https://perma.cc/P46C-CAFC,https://cap.gmdsolutions.com/lib/pdf.js/web/viewer.html?file=/api/files/02c0fe36-4356-4948-b772-4a97558f8aa6/B2CEDEB4826C49679473ACC7BD10038C,0,0,0,0,0,0,,35,
19147001,19147,Palo Alto,IA,2021,New Jail,Passed,https://perma.cc/YP2Y-QALF,0,0,0,0,0,0,0,5600000,0,18
19149001,19149,Plymouth,IA,2003,New Jail,Passed,https://perma.cc/E44F-Y6WN,0,0,0,0,0,0,0,5200000,14,54
19151001,19151,Pocahontas,IA,2022,New Jail,Pending,https://perma.cc/C5LB-B2H4,https://perma.cc/YP2Y-QALF,0,0,0,0,0,0,,0,18
19153001,19153,Polk,IA,2008,New Jail,Passed,https://perma.cc/7VMN-T96V,0,0,0,0,0,0,0,68000000,0,1500
19155002,19155,Pottawattamie,IA,2017,Jail Expansion,Failed,https://perma.cc/2L2A-STS4,0,0,0,0,0,0,0,136000,288,341
19155002,19155,Pottawattamie,IA,2015,Jail Expansion,Failed,https://perma.cc/GC8E-PUGJ,https://perma.cc/AB8L-ZQYG,0,0,0,0,0,0,25000000,288,448
19157001,19157,Poweshiek,IA,2008,New Jail,Passed,https://perma.cc/E44F-Y6WN,Called sheriff’s office (06/15/2022 @ 4:48 PM) to obtain current bed count,https://perma.cc/G9GJ-DQNG,0,0,0,0,0,,7,50
19159001,19159,Ringgold,IA,2011,Jail Expansion,Passed,https://perma.cc/E44F-Y6WN,Called sheriff’s office (06/15/2022 @ 4:53 PM) to obtain current bed count,https://perma.cc/JH3K-5KHC,https://perma.cc/56WV-TDKS,0,0,0,0,2500000,6,29
19163001,19163,Scott,IA,2004,Jail Expansion,Passed,https://perma.cc/2HTW-5TEA,https://perma.cc/B6DP-7N4H,https://perma.cc/ANG3-8HXR,0,0,0,0,0,29700000,214,363
19163001,19163,Scott,IA,2022,New Jail,Passed,https://perma.cc/4E56-6FPV?type=image,https://perma.cc/KA3K-HGNW,https://perma.cc/4ZAT-GUYX,0,0,0,0,0,26100000,18,40
19167001,19167,Sioux,IA,2003,New Jail,Passed,https://perma.cc/E44F-Y6WN,0,0,0,0,0,0,0,6000000,16,56
19169001,19169,Story,IA,2002,New Jail,Passed,https://perma.cc/9AL5-SED7,https://perma.cc/ADG2-ZBV3,0,0,0,0,0,0,13900000,31,104
19173001,19173,Taylor,IA,2014,New Jail,Passed,https://perma.cc/9JJM-UZ7A,https://perma.cc/JVP5-RW72,0,0,0,0,0,0,3800000,0,14
19179001,19179,Wapello,IA,2020,Jail Expansion,Passed,https://perma.cc/9WDQ-JUPR,https://perma.cc/G5TP-G5MY,0,0,0,0,0,0,300000,128,148
19183001,19183,Washington,IA,2004,New Jail,Failed,https://perma.cc/KPR5-CL58,0,0,0,0,0,0,0,4500000,0,40
19183001,19183,Washington,IA,2006,New Jail,Passed,https://perma.cc/J8NK-XBCQ,https://perma.cc/F2TW-36NB,0,0,0,0,0,0,,0,80
19185001,19185,Wayne,IA,2014,Jail Expansion,Passed,https://perma.cc/DF6M-CA92,0,0,0,0,0,0,0,,23,31
19187002,19187,Webster,IA,2012,Jail Expansion,Passed,https://perma.cc/6NFZ-EQYT,https://perma.cc/N8CS-U8L6,0,0,0,0,0,0,10000000,52,56
19187002,19187,Webster,IA,2022,New Jail,Pending,https://perma.cc/5T3E-5GFL,https://perma.cc/PM4H-CQ9V,https://perma.cc/KX6Z-FQKY,0,0,0,0,0,57000000,56,82
19189001,19189,Winnebago,IA,2018,New Jail,Passed,https://perma.cc/28M7-ZT3M,0,0,0,0,0,0,0,4700000,0,40
19193002,19193,Woodbury,IA,2002,Jail Expansion,Passed,https://perma.cc/YTJ7-UTPG,https://perma.cc/7JKD-SVCU,https://perma.cc/XLT8-PQHK,0,0,0,0,0,,192,234
19193002,19193,Woodbury,IA,2021,New Jail,Passed,https://perma.cc/K6T5-39DT,https://perma.cc/GJ27-BTTL,https://perma.cc/BMT7-C3R9,0,0,0,0,0,69000000,234,448
19195001,19195,Worth,IA,2021,Jail Expansion,Pending,https://perma.cc/ECH8-PT4R,0,0,0,0,0,0,0,17000000,,
20003001,20003,Anderson,KS,2009,New Jail,Passed,Called Sheriff's Office,https://perma.cc/2XKL-BQU7,0,0,0,0,0,0,5000000,0,46
20011001,20011,Bourbon,KS,2017,New Jail,Passed,https://perma.cc/U8GL-MZZK,0,0,0,0,0,0,0,8000000,0,74
20013002,20013,Brown,KS,2010,New Jail,Passed,https://perma.cc/5STD-446H,https://perma.cc/4M6A-ZLKJ,0,0,0,0,0,0,3550000,31,44
20015002,20015,Butler,KS,2003,New Jail,Passed,https://perma.cc/CAZ7-57HY,0,0,0,0,0,0,0,,0,230
20017001,20017,Chase,KS,2005,Jail Expansion,Passed,https://perma.cc/8L3T-YD65,https://perma.cc/X5MG-B8SB,0,0,0,0,0,0,2500000,70,148
20019001,20019,Chautauqua,KS,2012,New Jail,Passed,https://perma.cc/EQU5-6K4Q,https://perma.cc/AS9W-RZWM,0,0,0,0,0,0,2740000,0,20
20029001,20029,Cloud,KS,2013,New Jail,Passed,https://perma.cc/7FFD-Z8B5,0,0,0,0,0,0,0,5700000,25,80
20031001,20031,Coffey,KS,2021,New Jail,Pending,https://perma.cc/68NQ-MAXT,https://perma.cc/W3MA-HZ9L,0,0,0,0,0,0,25000000,30,80
20035003,20035,Cowley,KS,2008,New Jail,Passed,https://perma.cc/B3HD-DN8Y,https://perma.cc/8AYJ-EKZQ,0,0,0,0,0,0,8500000,38,220
20041002,20041,Dickinson,KS,2020,New Jail,Passed,https://perma.cc/4RSU-REE4,https://perma.cc/D8XD-UQQP,0,0,0,0,0,0,15000000,38,60
20045002,20045,Douglas,KS,2018,Jail Expansion,Failed,https://perma.cc/256B-K4ST,https://perma.cc/5JAG-2F6V,0,0,0,0,0,0,44000000,186,364
20045002,20045,Douglas,KS,2020,Jail Expansion,Pending,https://perma.cc/2HLN-6DLA,0,0,0,0,0,0,0,29000000,186,298
20051001,20051,Ellis,KS,2010,Jail Expansion,Passed,https://perma.cc/BW6Q-HL6T,https://perma.cc/XDK2-RUW3,0,0,0,0,0,0,12635000,568,856
20057002,20057,Ford,KS,2009,New Jail,Passed,https://perma.cc/9D46-8TUS,0,0,0,0,0,0,0,,0,256
20061002,20061,Geary,KS,2009,Jail Expansion,Passed,https://perma.cc/Z7BV-REVP,https://perma.cc/L469-S9CX,0,0,0,0,0,0,2500000,82,160
20085001,20085,Jackson,KS,2021,New Jail,Passed,https://perma.cc/G82R-HPBS,https://perma.cc/ELU8-XYRJ,https://perma.cc/5F7S-JSC6,https://perma.cc/3JYK-Q2NP,0,0,0,0,301000000,0,1200
20087001,20087,Jefferson,KS,2019,Jail Expansion,Pending,https://perma.cc/7UXS-PJZQ,0,0,0,0,0,0,0,,334,
20091001,20091,Johnson,KS,2008,Jail Expansion,Passed,https://perma.cc/MMH2-ZT5S,0,0,0,0,0,0,0,60300000,534,1088
20095001,20095,Kingman,KS,2013,New Jail,Failed,https://perma.cc/PJ8N-FJCW,https://perma.cc/Q3LZ-TR9K,https://perma.cc/M5T7-FJFF,0,0,0,0,0,11800000,13,
20095001,20095,Kingman,KS,2019,Jail Expansion,Passed,https://perma.cc/2NE7-GBP4,0,0,0,0,0,0,0,4173000,13,24
20107001,20107,Linn,KS,2022,New Jail,Passed,https://perma.cc/9FPK-UMCA,0,0,0,0,0,0,0,16000000,0,96
20115001,20115,Marion,KS,2005,New Jail,Failed,https://perma.cc/CSU9-A6GA,https://perma.cc/F72K-8XBT,0,0,0,0,0,0,8359999.999999999,0,72
20115001,20115,Marion,KS,2012,New Jail,Passed,https://perma.cc/F72K-8XBT,0,0,0,0,0,0,0,3000000,0,34
20117001,20117,Marshall,KS,2020,Jail Expansion,Pending,https://perma.cc/KR2D-5MTY,https://perma.cc/KS9D-2LWY,https://perma.cc/Q9AL-SPXQ,0,0,0,0,0,6000000,,38
20121001,20121,Miami,KS,2017,New Jail,Passed,https://perma.cc/FD6L-WTHS,0,0,0,0,0,0,0,18000000,0,96
20127001,20127,Morris,KS,2022,Jail Expansion,Pending,https://perma.cc/BM3H-S465,https://perma.cc/E5XG-SAQP,0,0,0,0,0,0,1100000,8,
20131001,20131,Nemaha,KS,2016,Jail Expansion,Passed,https://perma.cc/JU57-PZX9,https://perma.cc/2WPY-BLHJ,https://perma.cc/6MS4-34JV,0,0,0,0,0,4000000,17,32
20139001,20139,Osage,KS,2022,New Jail,Passed,https://perma.cc/T24T-VNFT,https://perma.cc/6YXR-63VQ,0,0,0,0,0,0,18000000,0,144
20149001,20149,Pottawatomie,KS,2013,New Jail,Passed,https://perma.cc/F72K-8XBT,0,0,0,0,0,0,0,11828000,0,64
20155001,20155,Reno,KS,2006,New Jail,Failed,https://perma.cc/4TM6-LJ65,https://perma.cc/HF4M-PW7Y,0,0,0,0,0,0,20000000,82,208
20155001,20155,Reno,KS,2013,New Jail,Passed,https://perma.cc/H987-HYHS,https://perma.cc/B8D7-XWPE,https://perma.cc/HF7L-DBMS,https://perma.cc/S72C-M7KB,0,0,0,0,26700000,82,250
20161002,20161,Riley,KS,2011,Jail Expansion,Passed,https://perma.cc/F2CK-VSFS,https://perma.cc/YB4F-DAP5,https://perma.cc/Y2Y3-WZTJ,0,0,0,0,0,3500000,127,147
20163001,20163,Rooks,KS,2016,New Jail,Passed,https://perma.cc/D3P3-W4ZC,https://perma.cc/VF8E-8U5X,0,0,0,0,0,0,3500000,13,20
20169002,20169,Saline,KS,2021,New Jail,Passed,https://perma.cc/G7GF-A22Q,https://perma.cc/KK5L-8KXY,https://perma.cc/TT5Y-H9AC,https://perma.cc/8BXH-YR45,0,0,0,0,89000000,0,392
20173002,20173,Sedgwick,KS,2008,Jail Expansion,Failed,https://perma.cc/JT33-FTFP,0,0,0,0,0,0,0,48000000,1068,1452
20173002,20173,Sedgwick,KS,2019,Jail Expansion,Passed,https://perma.cc/LX2D-GZHF,https://perma.cc/G5U8-YM82,0,0,0,0,0,0,6800000,1068,1406
20191001,20191,Sumner,KS,2004,New Jail,Passed,https://perma.cc/F73B-8ZHQ,https://perma.cc/8CU6-HY4N,0,0,0,0,0,0,9500000,0,123
20193001,20193,Thomas,KS,2017,New Jail,Passed,https://www.facebook.com/judicialcenter/posts/1772690996367790?__tn__=K-R,https://www.facebook.com/judicialcenter/photos/1588640671439491,https://perma.cc/2GNW-JZGG,0,0,0,0,0,15300000,0,68
21003001,21003,Allen,KY,2012,Jail Expansion,Passed,https://perma.cc/NH45-Q79L,https://perma.cc/BX45-BGYR,https://perma.cc/N6DP-Z8HW,0,0,0,0,0,16000000,58,72
21009001,21009,Barren,KY,2011,New Jail,Passed,https://perma.cc/PN2K-BHHKhttps://perma.cc/PN2K-BHHK,https://perma.cc/6TZ2-YBEBhttps://perma.cc/6TZ2-YBEB,0,0,0,0,0,0,7400000,130,178
21015001,21015,Boone,KY,2002,Jail Expansion,Passed,https://perma.cc/VB45-7CT9https://perma.cc/VB45-7CT9,https://perma.cc/NH45-Q79Lhttps://perma.cc/NH45-Q79L,https://perma.cc/9VZ5-L376https://perma.cc/9VZ5-L376,0,0,0,0,0,20000000,176,424
